"Data Source","World Development Indicators",

"Last Updated Date","2024-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Brunei Darussalam","BRN","Railways, passengers carried (million passenger-km)","IS.RRS.PASG.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Railways, passengers carried (million passenger-km)","IS.RRS.PASG.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Railways, passengers carried (million passenger-km)","IS.RRS.PASG.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86","95.8","96","94","89","75","106","115","160","94","94","94","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Railways, passengers carried (million passenger-km)","IS.RRS.PASG.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Railways, passengers carried (million passenger-km)","IS.RRS.PASG.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1382","1411","1440","1469","1498","1548","1553","1596","1433","1413","1478","1450","1453","1574","1413","1404","1404","1376","1365","1327","1349","1408","1534","1530","1731","229","536","","",
"Central Europe and the Baltics","CEB","Railways, passengers carried (million passenger-km)","IS.RRS.PASG.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4202","3769","3057","3092","2968","2870","2805","2598","2316","2228","2182","2213","2165","2296","2144","2100","2068","1876","1826","1702","1552","1458","1438","1479","1523.8","784","873.5","","",
"Switzerland","CHE","Railways, passengers carried (million passenger-km)","IS.RRS.PASG.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11713","11890","12051","12148","12501","12620","13301","14147","14509","14914","16144","16578","17434","17776","18571","19177","19471","19262","19447","20010","20389","20812","20864.5","20613","21737","13334","14308","","",
"Channel Islands","CHI","Railways, passengers carried (million passenger-km)","IS.RRS.PASG.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Railways, passengers carried (million passenger-km)","IS.RRS.PASG.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","689","642","550","533.9","637.19","736","870","769","829","820","","","","","","696.35048","851.582112","933.999552","861.780415","662.561655","584.365975","582.860352","846.13","973","1063","517","738","","",
"China","CHN","Railways, passengers carried (million passenger-km)","IS.RRS.PASG.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","354261","332202","354353","369097","404627","441468","463655","480305","462279","551196","583320","635327","689618","777860","787890","791158","921541","940249","1008172","1089560","1109312","1160059","1266681","1361715","1438606","328251","946499","","",
"Cote d'Ivoire","CIV","Railways, passengers carried (million passenger-km)","IS.RRS.PASG.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","161","157.512","155","119","93.1","125.91","182","148","10","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Railways, passengers carried (million passenger-km)","IS.RRS.PASG.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","399","334","317","281","248.8","327.1","302.8","308.5","319","308","324","361.935","370","377.477","435.390042285107","463.485","494.747","","","","","","262.124","256.872","254.555","225.373","","","",
"Congo, Dem. Rep.","COD","Railways, passengers carried (million passenger-km)","IS.RRS.PASG.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60","146","161","143","146","188","222","160","142","140","140.4","94.1","84.844512","89.075046","34.959846","36.68416","24.649634","22.242204","30","20","16.7","28.397202","22.724","29.514","27.368","5.359","7.24727","","",
"Congo, Rep.","COG","Railways, passengers carried (million passenger-km)","IS.RRS.PASG.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","302","360","234.497","242","8","83.9","170.9","76","59","135","167.5","211","199","233","207","","264.56","266.47","","","","","","","","","","","",
"Colombia","COL","Railways, passengers carried (million passenger-km)","IS.RRS.PASG.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Comoros","COM","Railways, passengers carried (million passenger-km)","IS.RRS.PASG.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Railways, passengers carried (million passenger-km)","IS.RRS.PASG.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Costa Rica","CRI","Railways, passengers carried (million passenger-km)","IS.RRS.PASG.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","Railways, passengers carried (million passenger-km)","IS.RRS.PASG.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Railways, passengers carried (million passenger-km)","IS.RRS.PASG.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2188.2","2159.2","1962.2","1750.4","1498.8","1853","","1681.4","2046.1","1759.5","1513.8","1233.4","1284.8","","","","","","","","","","","","","","","","",
"Curacao","CUW","Railways, passengers carried (million passenger-km)","IS.RRS.PASG.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Railways, passengers carried (million passenger-km)","IS.RRS.PASG.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Railways, passengers carried (million passenger-km)","IS.RRS.PASG.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Czechia","CZE","Railways, passengers carried (million passenger-km)","IS.RRS.PASG.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8023","8111","7721","7018","6957","7300","7299","6597","6518","6590","6667","6922","6900","6803","6503","6591","6714","7265","7601","7797","8298.112592","8843.373268","9497.566454","10286.019","10930.618","6665.141","6820.176","","",
"Germany","DEU","Railways, passengers carried (million passenger-km)","IS.RRS.PASG.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70977","71730","72403","72666","73796","75404","75754","71366","71293","72879","76824","78995","79107","82539","82253","83886","85414","88796","89615","90976","91603","94197","95530","98170","102026","58822","","","",
"Djibouti","DJI","Railways, passengers carried (million passenger-km)","IS.RRS.PASG.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150","145","173","127","82","","145","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Railways, passengers carried (million passenger-km)","IS.RRS.PASG.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Railways, passengers carried (million passenger-km)","IS.RRS.PASG.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4684","4621","4978","5163","5113","5537","5721","5754","5893","6074","6136","6274","6353","6475","6367","6577","6890","7020","7076","6808","6808","6653","6623","6560","","","","","",
"Dominican Republic","DOM","Railways, passengers carried (million passenger-km)","IS.RRS.PASG.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Algeria","DZA","Railways, passengers carried (million passenger-km)","IS.RRS.PASG.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1797","1826","1360","1163","1069","1142","981","954.868","964","950","929","821","757.531","937.081","1141","1045","1040","1141","","1186","1269","1337","1550","1602","1454","348","","","",
"East Asia & Pacific (excluding high income)","EAP","Railways, passengers carried (million passenger-km)","IS.RRS.PASG.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1701.5","1923","1964.5","1969.5","2018.5","3200","3697","4115","4041","4163","6876.5","","","","","","","","","","4233.88","","","","","","","","",
"Early-demographic dividend","EAR","Railways, passengers carried (million passenger-km)","IS.RRS.PASG.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Railways, passengers carried (million passenger-km)","IS.RRS.PASG.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4178","4294","3784","3948","7003","9935","10037","10022","8726","9195","10781.4466761865","","12834.865789096","","","15741.095930305","16571.896814","","","","16016.860652115","","10789","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Railways, passengers carried (million passenger-km)","IS.RRS.PASG.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1019","882","639","552","385.5","453","401","378","352","614","713","684","730","674","574","588","591","565.5","597","550","479.8","443","422","406.5","414.5","164.5","147.5","","",
"Europe & Central Asia","ECS","Railways, passengers carried (million passenger-km)","IS.RRS.PASG.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4684","4503","3969.5","3989.5","3617.5","3405","3272","3153.5","3338","2683.457775","3615.5","2832.39148","3367.977605","4052","3478.0718935","3546.6917355","3478.9870615","3620.4","4232","3852","3857.5","3901","4282.5","4510.5","4924","2366","2477.5","","",
"Ecuador","ECU","Railways, passengers carried (million passenger-km)","IS.RRS.PASG.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Egypt, Arab Rep.","EGY","Railways, passengers carried (million passenger-km)","IS.RRS.PASG.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52406","55438","60617","64860","67981","73565","46059","40837","","41046","40800","40830","","40837","","","","","","","","","","","","","","","",
"Euro area","EMU","Railways, passengers carried (million passenger-km)","IS.RRS.PASG.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4202","3769","3376","3377","3415","3405","3282","3318","3338","3352","3478","3540","3778","4052","3876","3959","3882","3803","3649","3852","3957","3868","4271","4487","4924","2552","2477.5","","",
"Eritrea","ERI","Railways, passengers carried (million passenger-km)","IS.RRS.PASG.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Railways, passengers carried (million passenger-km)","IS.RRS.PASG.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16594","16800","17878","18869","19655","20144","20828","21211","21127","20386","21624","22105","21857","23969","23137","22456","22795","22476","23788","25072","26142","26670","27487","28434","28835","11998.51","17002","","",
