DATAFLOW,LAST UPDATE,freq,lvlcros,geo,unit,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,EL,NR,2019,685,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,EL,NR,2020,684,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,EL,NR,2021,685,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,EL,NR,2022,449,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,ES,NR,2010,971,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,ES,NR,2011,946,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,ES,NR,2012,928,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,ES,NR,2013,1187,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,ES,NR,2014,1181,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,ES,NR,2015,1165,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,ES,NR,2016,1168,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,ES,NR,2017,1153,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,ES,NR,2018,1143,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,ES,NR,2019,1138,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,ES,NR,2020,1126,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,ES,NR,2021,1081,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,ES,NR,2022,1066,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,EU27_2020,NR,2010,58282,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,EU27_2020,NR,2011,57394,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,EU27_2020,NR,2012,56474,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,EU27_2020,NR,2013,56213,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,EU27_2020,NR,2014,55664,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,EU27_2020,NR,2015,55755,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,EU27_2020,NR,2016,56558,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,EU27_2020,NR,2017,57355,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,EU27_2020,NR,2018,55899,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,EU27_2020,NR,2019,55912,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,EU27_2020,NR,2020,55814,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,EU27_2020,NR,2021,55983,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,EU27_2020,NR,2022,55637,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,FI,NR,2010,817,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,FI,NR,2011,806,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,FI,NR,2012,794,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,FI,NR,2013,780,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,FI,NR,2014,767,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,FI,NR,2015,751,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,FI,NR,2016,743,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,FI,NR,2017,758,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,FI,NR,2018,756,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,FI,NR,2019,775,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,FI,NR,2020,712,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,FI,NR,2021,732,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,FI,NR,2022,731,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,FR,NR,2010,13110,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,FR,NR,2011,12693,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,FR,NR,2012,11843,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,FR,NR,2013,12159,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,FR,NR,2014,12475,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,FR,NR,2015,12456,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,FR,NR,2016,11551,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,FR,NR,2017,12493,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,FR,NR,2018,11180,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,FR,NR,2019,11078,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,FR,NR,2020,10971,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,FR,NR,2021,10908,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,FR,NR,2022,10804,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,HR,NR,2010,528,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,HR,NR,2011,594,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,HR,NR,2012,594,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,HR,NR,2013,546,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,HR,NR,2014,345,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,HR,NR,2015,553,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,HR,NR,2016,565,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,HR,NR,2017,565,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,HR,NR,2018,585,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,HR,NR,2019,584,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,HR,NR,2020,585,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,HR,NR,2021,592,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,HR,NR,2022,608,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,HU,NR,2010,2820,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,HU,NR,2011,2892,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,HU,NR,2012,2890,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,HU,NR,2013,2890,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,HU,NR,2014,2890,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,HU,NR,2015,2890,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,HU,NR,2016,2933,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,HU,NR,2017,2937,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,HU,NR,2018,2905,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,HU,NR,2019,2904,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,HU,NR,2020,2903,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,HU,NR,2021,2903,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,HU,NR,2022,2903,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,IE,NR,2006,217,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,IE,NR,2007,217,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,IE,NR,2008,216,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,IE,NR,2009,217,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,IE,NR,2010,212,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,IE,NR,2011,205,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,IE,NR,2012,207,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,IE,NR,2013,205,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,IE,NR,2014,201,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,IE,NR,2015,204,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,IE,NR,2016,204,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,IE,NR,2017,201,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,IE,NR,2018,201,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,IE,NR,2019,201,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,IE,NR,2020,205,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,IE,NR,2021,220,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,IE,NR,2022,224,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,IT,NR,2010,4583,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,IT,NR,2011,4488,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,IT,NR,2012,4361,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,IT,NR,2013,4046,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,IT,NR,2014,3849,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,IT,NR,2015,3781,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,IT,NR,2016,5551,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,IT,NR,2017,4961,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,IT,NR,2018,4874,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,IT,NR,2019,4777,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,IT,NR,2020,4774,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,IT,NR,2021,4755,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,IT,NR,2022,4732,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,LT,NR,2010,384,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,LT,NR,2011,384,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,LT,NR,2012,381,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,LT,NR,2013,370,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,LT,NR,2014,372,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,LT,NR,2015,388,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,LT,NR,2016,385,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,LT,NR,2017,385,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,LT,NR,2018,385,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,LT,NR,2019,470,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,LT,NR,2020,483,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,LT,NR,2021,477,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,LT,NR,2022,372,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,LU,NR,2010,106,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,LU,NR,2011,106,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,LU,NR,2012,106,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,LU,NR,2013,106,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,LU,NR,2014,101,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,LU,NR,2015,99,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,LU,NR,2016,22,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,LU,NR,2017,17,
