DATAFLOW,LAST UPDATE,freq,tra_cov,cargo,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SE,2018,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SE,2019,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SE,2020,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SE,2021,,c
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SE,2022,,c
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SE,2023,,c
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SI,2004,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SI,2005,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SI,2006,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SI,2007,1,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SI,2008,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SI,2009,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SI,2010,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SI,2011,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SI,2012,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SI,2013,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SI,2014,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SI,2015,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SI,2016,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SI,2017,1,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SI,2018,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SI,2019,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SI,2020,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SI,2021,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SI,2022,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SI,2023,0,
