DATAFLOW,LAST UPDATE,freq,unit,tra_infr,tra_meas,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,RO,2006,10789,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,RO,2007,10777,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,RO,2008,10785,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,RO,2009,10784,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,RO,2010,10785,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,RO,2011,10777,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,RO,2012,10777,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,RO,2013,10768,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,RO,2014,10777,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,RO,2015,10770,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,RO,2016,10774,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,RO,2017,10774,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,RO,2018,10765,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,RO,2019,10759,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,RO,2020,10769,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,RO,2021,10764,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,RO,2022,10615,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,RS,2006,3809,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,RS,2007,3809,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,RS,2008,3809,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,RS,2009,3809,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,RS,2010,3809,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,RS,2011,3819,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,RS,2012,3819,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,RS,2013,3819,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,RS,2014,3819,
