DATAFLOW,LAST UPDATE,freq,train,vehicle,mot_nrg,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,BG,1998,2656,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,BG,1999,2344,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,BG,2000,2244,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,BG,2001,2077.500,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,BG,2002,1856.200,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,BG,2003,1696.400,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,BG,2004,1833.500,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,BG,2005,1883.100,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,BG,2006,1937.600,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,BG,2007,2089.800,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,BG,2008,1917,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,BG,2009,1190.300,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,BG,2010,1105.700,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,BG,2011,1005.100,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,BG,2012,1634.200,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,BG,2013,2472.300,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,CH,1990,81,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,CZ,1994,10936,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,CZ,1995,11106.100,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,CZ,1996,10240.600,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,CZ,1997,9644,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,CZ,1998,8646,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,CZ,1999,7856,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,CZ,2000,6743.300,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,CZ,2001,5909.100,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,CZ,2002,5626,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,CZ,2003,5137,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,CZ,2004,4952,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,CZ,2005,4741,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,CZ,2006,5612,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,CZ,2007,5525,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,CZ,2008,6419,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,CZ,2009,6251,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,CZ,2010,7640,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,CZ,2011,6604,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,CZ,2012,6034,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,CZ,2013,5761,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,CZ,2014,7164,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,CZ,2015,6855,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,CZ,2016,6084,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,CZ,2017,5713,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,CZ,2018,6012,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,CZ,2019,5832,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,CZ,2020,6093,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,CZ,2021,6319,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,CZ,2022,6172,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,DE,1990,38002,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,DE,1998,41922,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,DE,1999,46542,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,DE,2000,61417.100,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,DE,2001,59329,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,DE,2002,59304,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,DK,1990,5815,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,DK,1991,5862,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,DK,1992,4730,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,EE,1992,8038,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,EE,1993,7984,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,EE,1994,7082,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,EE,1995,7279,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,EE,1996,7780,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,EE,1997,9243,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,EE,1998,10658,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,EE,1999,12816,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,EE,2000,14201,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,EE,2001,14653,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,EE,2002,17261,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,EE,2003,17360,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,EL,1990,3688,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,EL,1991,3376,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,EL,1992,2950,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,EL,1993,2937,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,EL,1994,2247,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,EL,1995,2103,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,EL,1996,2123,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,EL,1998,1965,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,EL,2006,2867,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,EL,2007,4107,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,EL,2008,3955,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,ES,1990,7829,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,ES,1995,6965,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,ES,1996,6563,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,ES,1997,7571,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,ES,1998,7729,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,ES,1999,7881,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,ES,2000,5948,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,ES,2001,6160,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,ES,2002,5417,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,ES,2004,5293,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,ES,2005,6750,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,ES,2018,4825,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,ES,2019,6806,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,ES,2020,3138,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,ES,2021,3007,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,ES,2022,3267.376,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,FI,1990,10459,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,FI,1991,9907,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,FI,1992,10138,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,FI,1993,11336,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,FI,1994,11801,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,FI,1995,11027,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,FI,1996,10082,
