DATAFLOW,LAST UPDATE,freq,unit,c_load,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,HR,2014,9,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,HR,2015,6,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,HR,2016,0,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,HR,2017,1,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,HR,2018,30,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,HR,2019,23,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,HR,2020,32,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,HR,2021,16,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,HR,2022,13,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,HR,2023,6,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,HU,2003,55,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,HU,2004,49,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,HU,2005,49,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,HU,2006,48,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,HU,2007,35,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,HU,2008,22,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,HU,2009,15,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,HU,2010,23,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,HU,2011,61,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,HU,2012,45,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,HU,2013,118,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,HU,2014,53,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,HU,2015,93,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,HU,2016,75,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,HU,2017,72,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,HU,2018,139,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,HU,2019,103,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,HU,2020,128,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,HU,2021,86,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,HU,2022,74,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,HU,2023,90,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,IT,2003,0,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,IT,2004,0,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,IT,2005,6,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,IT,2006,7,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,IT,2007,9,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,IT,2008,,c
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,IT,2009,2,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,IT,2010,,c
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,IT,2011,,c
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,IT,2012,,c
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,IT,2013,2,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,IT,2014,,c
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,IT,2015,,c
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,IT,2016,,c
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,IT,2017,,c
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,IT,2018,,c
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,IT,2020,,c
