DATAFLOW,LAST UPDATE,freq,unit,accident,victim,pers_cat,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,BE,2018,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,BE,2019,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,BE,2020,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,BE,2021,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,BE,2022,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,BG,2006,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,BG,2007,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,BG,2008,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,BG,2009,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,BG,2010,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,BG,2011,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,BG,2012,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,BG,2013,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,BG,2014,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,BG,2015,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,BG,2016,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,BG,2017,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,BG,2018,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,BG,2019,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,BG,2020,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,BG,2021,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,BG,2022,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CH,2009,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CH,2010,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CH,2011,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CH,2012,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CH,2013,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CH,2014,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CH,2015,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CH,2016,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CH,2017,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CH,2018,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CH,2019,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CH,2020,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CH,2021,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CH,2022,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CHUNNEL,2007,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CHUNNEL,2008,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CHUNNEL,2009,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CHUNNEL,2010,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CHUNNEL,2011,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CHUNNEL,2012,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CHUNNEL,2013,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CHUNNEL,2014,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CHUNNEL,2015,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CHUNNEL,2016,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CHUNNEL,2017,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CHUNNEL,2018,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CHUNNEL,2019,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CHUNNEL,2020,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CHUNNEL,2021,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CHUNNEL,2022,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CZ,2006,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CZ,2007,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CZ,2008,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CZ,2009,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CZ,2010,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CZ,2011,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CZ,2012,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CZ,2013,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CZ,2014,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CZ,2015,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CZ,2016,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CZ,2017,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CZ,2018,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CZ,2019,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CZ,2020,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CZ,2021,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,CZ,2022,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,DE,2006,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,DE,2007,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,DE,2008,0,
