DATAFLOW,LAST UPDATE,freq,loadstat,tra_cov,cargo,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,SE,2020,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,SE,2021,,c
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,SE,2022,,c
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,SE,2023,,c
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,SI,2004,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,SI,2005,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,SI,2006,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,SI,2007,2,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,SI,2008,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,SI,2009,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,SI,2010,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,SI,2011,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,SI,2012,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,SI,2013,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,SI,2014,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,SI,2015,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,SI,2016,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,SI,2017,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,SI,2018,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,SI,2019,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,SI,2020,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,SI,2021,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,SI,2022,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,SI,2023,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,SK,2004,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,SK,2005,0,
