DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DE,2013,110655,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DE,2014,112629,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DE,2015,114341,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DE,2016,135875,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DE,2017,126897,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DE,2018,127620,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DE,2019,128545,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DE,2020,109219,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DE,2021,123935,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DE,2022,128637,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DE,2023,125364,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DK,2004,2321,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DK,2005,1976,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DK,2006,1892,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DK,2007,1779,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DK,2008,1866,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DK,2009,1700,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DK,2010,2239,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DK,2011,2614,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DK,2012,2278,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DK,2013,2449,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DK,2014,2453,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DK,2015,2603,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DK,2016,2616,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DK,2017,2653,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DK,2018,2594,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DK,2019,2525,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DK,2020,2450,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DK,2021,1986,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DK,2022,2211,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DK,2023,1906,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EE,2004,10488,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EE,2005,10639,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EE,2006,10418,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EE,2007,8430,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EE,2008,5943,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EE,2009,5947,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EE,2010,6638,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EE,2011,6271,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EE,2012,5129,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EE,2013,4722,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EE,2014,3256,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EE,2015,3117,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EE,2016,2340,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EE,2017,2325,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EE,2018,2588,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EE,2019,2155,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EE,2020,1729,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EE,2021,2124,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EE,2022,1286,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EE,2023,771,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EL,2004,592,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EL,2005,613,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EL,2006,662,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EL,2007,835,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EL,2008,786,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EL,2009,552,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EL,2010,614,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EL,2011,352,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EL,2012,283,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EL,2013,237,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EL,2014,311,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EL,2015,294,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EL,2016,254,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EL,2017,358,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EL,2018,,c
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EL,2019,,c
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EL,2020,,c
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EL,2021,,c
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EL,2022,,c
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EL,2023,,c
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,ES,2004,12436,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,ES,2005,11585,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,ES,2006,11541,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,ES,2007,11237,
