DATAFLOW,LAST UPDATE,freq,unit,tra_infr,gaugert,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,NO,1994,1601,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,NO,1995,1601,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,NO,1996,1601,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,NO,1997,1565,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,NO,1998,1544,s
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,NO,1999,1523,s
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,NO,2000,1660,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,NO,2001,1660,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,NO,2002,1559,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,NO,2003,1559,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,NO,2004,1559,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,NO,2005,1562,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,NO,2006,1562,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,NO,2007,1562,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,NO,2008,1562,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,NO,2009,1405,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,NO,2010,1434,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,NO,2011,1395,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,NO,2012,1393,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,NO,2013,1397,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,NO,2014,1436,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,NO,2015,1436,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,NO,2016,1436,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,NO,2017,1480,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,NO,2018,1407,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,NO,2019,1407,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,NO,2020,1394,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,NO,2021,1394,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,NO,2022,1394,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PL,1990,14841,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PL,1991,14338,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PL,1992,13758,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PL,1993,13444,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PL,1994,12700,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PL,1995,12359,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PL,1996,11794,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PL,1997,11798,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PL,1998,11596,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PL,1999,10924,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PL,2000,10734,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PL,2001,9154,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PL,2002,8866,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PL,2003,7865,s
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PL,2004,8233,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PL,2005,8369,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PL,2006,8305,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PL,2007,8209,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PL,2008,8272,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PL,2009,8404,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PL,2010,8312,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PL,2011,8348,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PL,2012,8174,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PL,2013,7460,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PL,2014,7410,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PL,2015,7366,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PL,2016,7258,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PL,2017,7355,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PL,2018,7338,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PL,2019,7377,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PL,2020,7270,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PL,2021,7186,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PL,2022,7217,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PT,1990,2668,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PT,1991,2655,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PT,1992,2592,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PT,1993,2601,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PT,1994,2608,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PT,1995,2543,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PT,1996,2457,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PT,1997,2307,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PT,1998,1921,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PT,1999,1912,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PT,2000,1910,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PT,2001,1908.400,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PT,2002,1754,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PT,2003,1742,s
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_NELC,TOTAL,PT,2004,1477,s
