DATAFLOW,LAST UPDATE,freq,consign,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,MK,2019,0,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,MK,2020,0,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,MK,2021,0,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,MK,2022,0,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,PL,2004,18203,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,PL,2005,15493,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,PL,2006,17206,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,PL,2007,16183,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,PL,2008,15258,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,PL,2009,31437,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,PL,2010,11169,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,PL,2011,11884,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,PL,2012,8073,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,PL,2013,7643,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,PL,2014,6794,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,PL,2015,5965,
