DATAFLOW,LAST UPDATE,freq,tra_infr,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,CH,2008,5055,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,CH,2009,5097,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,CH,2010,5033,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,CH,2011,5049,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,CH,2012,5056,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,CH,2013,5090,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,CH,2014,5096,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,CH,2015,5114,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,CH,2016,5091,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,CH,2017,5107,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,CH,2018,5104,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,CH,2019,5144,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,CH,2020,5141,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,CH,2021,5156,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,CH,2022,5156,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,CZ,2008,9586,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,CZ,2009,9578,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,CZ,2010,9568,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,CZ,2011,9572,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,CZ,2012,9570,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,CZ,2013,9560,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,CZ,2014,9559,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,CZ,2015,9566,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,CZ,2016,9564,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,CZ,2017,9567,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,CZ,2018,9572,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,CZ,2019,9562,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,CZ,2020,9542,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,CZ,2021,9523,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,CZ,2022,9521,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,DE,2008,35371,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,DE,2009,35507,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,DE,2010,36323,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,DE,2011,36346,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,DE,2012,36269,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,DE,2013,36257.801,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,DE,2014,36264.765,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,DE,2015,36239.502,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,DE,2016,36191.542,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,DE,2017,36187.643,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,DE,2018,36331.798,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,DE,2019,36405.117,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,DE,2020,36129.773,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,DE,2021,36054.582,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,DE,2022,36107.535,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,DK,2008,2606,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,DK,2009,2606,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,DK,2010,2606,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,DK,2011,2615,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,DK,2012,2615,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,DK,2013,2615,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,DK,2014,2612,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,DK,2015,2552,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,DK,2016,2539,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,DK,2017,2481,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,DK,2018,2481,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,DK,2019,2479,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,DK,2020,2428,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,DK,2021,2428,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,DK,2022,2391,
