DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,CZ,2006,174,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,CZ,2007,150,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,CZ,2008,160,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,CZ,2009,185,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,CZ,2010,198,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,CZ,2011,235,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,CZ,2012,224,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,CZ,2013,207,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,CZ,2014,279,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,CZ,2015,205,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,CZ,2016,203,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,CZ,2017,203,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,CZ,2018,184,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,CZ,2019,211,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,CZ,2020,204,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,CZ,2021,161,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,CZ,2022,214,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,DE,2007,706,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,DE,2008,714,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,DE,2009,875,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,DE,2010,899,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,DE,2011,853,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,DE,2012,872,
