DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,CZ,2019,10856,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,CZ,2020,6623,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,CZ,2021,6752,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,CZ,2022,9394,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,CZ,2023,9996,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,DE,2004,75903,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,DE,2005,74944,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,DE,2006,78735,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,DE,2007,79098,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,DE,2008,82428,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,DE,2009,81206,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,DE,2010,82837,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,DE,2011,89316,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,DE,2012,93918,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,DE,2013,89450,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,DE,2014,90978,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,DE,2015,91050,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,DE,2016,95465,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,DE,2017,95529,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,DE,2018,98161,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,DE,2019,100252,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,DE,2020,57787,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,DE,2021,57518,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,DE,2022,92313,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,DE,2023,101408,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,DK,2004,5921,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,DK,2005,5961,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,DK,2006,6097,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,DK,2007,6163,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,DK,2008,6267,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,DK,2009,6161,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,DK,2010,6341,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,DK,2011,6605,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,DK,2012,6744,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,DK,2013,6785,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,DK,2014,6513,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,DK,2015,6507,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,DK,2016,6332,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,DK,2017,6280,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,DK,2018,6182,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,DK,2019,6174,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,DK,2020,3940,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,DK,2021,4181,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,DK,2022,6376,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,DK,2023,6657,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EE,2004,193,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EE,2005,248,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EE,2006,257,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EE,2007,274,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EE,2008,274,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EE,2009,249,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EE,2010,247,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EE,2011,243,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EE,2012,235,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EE,2013,223,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EE,2014,280,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EE,2015,286,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EE,2016,316,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EE,2017,366,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EE,2018,417,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EE,2019,392,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EE,2020,263,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EE,2021,290,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EE,2022,382,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EE,2023,408,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EL,2004,1668,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EL,2005,1854,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EL,2006,1811,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EL,2007,1930,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EL,2008,1657,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EL,2009,1467,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EL,2010,1383,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EL,2011,958,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EL,2012,832,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EL,2013,1056,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EL,2014,1072,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EL,2015,1263,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EL,2016,1192,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EL,2017,1112,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EL,2018,1104,
