DATAFLOW,LAST UPDATE,freq,unit,power,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,EE,2011,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,EE,2012,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,EE,2013,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,EE,2014,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,EE,2015,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,EE,2016,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,EE,2017,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,EE,2018,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,EE,2019,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,EE,2020,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,EE,2021,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,EE,2022,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,EL,1990,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,EL,1991,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,EL,1992,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,EL,1993,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,EL,1994,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,EL,1995,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,EL,1996,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,EL,1997,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,EL,1998,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,EL,1999,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,EL,2000,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,EL,2001,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,EL,2002,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,EL,2003,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,EL,2004,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,EL,2005,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,EL,2006,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,EL,2007,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,EL,2008,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,EL,2009,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,EL,2010,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,EL,2011,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,EL,2012,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,EL,2013,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,EL,2014,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,EL,2015,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,EL,2016,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,EL,2017,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,EL,2018,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,EL,2019,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,EL,2020,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,EL,2021,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,EL,2022,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,ES,1990,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,ES,1991,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,ES,1992,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,ES,1993,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,ES,1994,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,ES,1995,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,ES,1996,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,ES,1997,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,ES,1998,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,ES,1999,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,ES,2000,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,ES,2001,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,ES,2002,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,ES,2003,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,ES,2004,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,ES,2005,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,ES,2006,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,ES,2007,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,ES,2008,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,ES,2009,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,ES,2010,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,ES,2011,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,ES,2012,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,ES,2013,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,ES,2014,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,ES,2015,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,ES,2016,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,ES,2017,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,ES,2018,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,ES,2019,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,ES,2020,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,ES,2021,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,ES,2022,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,FI,2004,,z
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,FI,2005,,z
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,FI,2006,,z
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,FI,2007,,z
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,FI,2008,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,FI,2009,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,FI,2010,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,FI,2012,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,FI,2013,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,FI,2014,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,FI,2015,0,b
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,FI,2016,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,FI,2017,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,FI,2018,0,
