DATAFLOW,LAST UPDATE,freq,unit,vehicle,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_PA_SPEED(1.0),31/07/24 23:00:00,A,MIO_PKM,TOTAL,EE,2014,280,
ESTAT:RAIL_PA_SPEED(1.0),31/07/24 23:00:00,A,MIO_PKM,TOTAL,EE,2015,286,
ESTAT:RAIL_PA_SPEED(1.0),31/07/24 23:00:00,A,MIO_PKM,TOTAL,EE,2016,316,
ESTAT:RAIL_PA_SPEED(1.0),31/07/24 23:00:00,A,MIO_PKM,TOTAL,EE,2017,366,
ESTAT:RAIL_PA_SPEED(1.0),31/07/24 23:00:00,A,MIO_PKM,TOTAL,EE,2018,417,
ESTAT:RAIL_PA_SPEED(1.0),31/07/24 23:00:00,A,MIO_PKM,TOTAL,EE,2019,392,
ESTAT:RAIL_PA_SPEED(1.0),31/07/24 23:00:00,A,MIO_PKM,TOTAL,EE,2020,263.200,
ESTAT:RAIL_PA_SPEED(1.0),31/07/24 23:00:00,A,MIO_PKM,TOTAL,EE,2021,290,
ESTAT:RAIL_PA_SPEED(1.0),31/07/24 23:00:00,A,MIO_PKM,TOTAL,EE,2022,382,
ESTAT:RAIL_PA_SPEED(1.0),31/07/24 23:00:00,A,MIO_PKM,TOTAL,EL,2008,1657,
ESTAT:RAIL_PA_SPEED(1.0),31/07/24 23:00:00,A,MIO_PKM,TOTAL,EL,2011,957.970,
ESTAT:RAIL_PA_SPEED(1.0),31/07/24 23:00:00,A,MIO_PKM,TOTAL,EL,2012,832.010,
ESTAT:RAIL_PA_SPEED(1.0),31/07/24 23:00:00,A,MIO_PKM,TOTAL,EL,2013,1055.640,
ESTAT:RAIL_PA_SPEED(1.0),31/07/24 23:00:00,A,MIO_PKM,TOTAL,EL,2014,1071.900,
ESTAT:RAIL_PA_SPEED(1.0),31/07/24 23:00:00,A,MIO_PKM,TOTAL,EL,2015,1262.540,
ESTAT:RAIL_PA_SPEED(1.0),31/07/24 23:00:00,A,MIO_PKM,TOTAL,EL,2016,1192.470,
ESTAT:RAIL_PA_SPEED(1.0),31/07/24 23:00:00,A,MIO_PKM,TOTAL,EL,2017,1111.720,
